network_name,seed_method,threshold,seed_size,budget_total,interaction_1_2,interaction_2_1,smart_method,no_block_0,no_block_1,no_block_2,no_block_3,mcich_0,mcich_1,mcich_2,mcich_3,degree_0,degree_1,degree_2,degree_3
../complex_net_proposal/experiment_networks/epinions.edges,centola,3,20,5311,1,2,MCICH_SMC,51935,0,1,23941,75857,5,10,5,66654,10,25,9188
../complex_net_proposal/experiment_networks/epinions.edges,centola,4,20,37,1,2,MCICH_SMC,57123,0,1,18753,57138,0,4,18735,57689,1,1,18186
../complex_net_proposal/experiment_networks/epinions.edges,centola,4,20,75,1,2,MCICH_SMC,57123,0,1,18753,57165,0,5,18707,57979,2,2,17894
../complex_net_proposal/experiment_networks/epinions.edges,centola,4,20,379,1,2,MCICH_SMC,57123,0,1,18753,57293,6,26,18552,59463,3,3,16408
../complex_net_proposal/experiment_networks/epinions.edges,centola,4,20,758,1,2,MCICH_SMC,57123,0,1,18753,57293,6,26,18552,60659,3,4,15211
../complex_net_proposal/experiment_networks/epinions.edges,centola,4,20,1138,1,2,MCICH_SMC,57123,0,1,18753,75857,7,5,8,61720,5,6,14146
../complex_net_proposal/experiment_networks/epinions.edges,centola,4,20,1517,1,2,MCICH_SMC,57123,0,1,18753,75857,7,5,8,62704,7,7,13159
../complex_net_proposal/experiment_networks/epinions.edges,centola,4,20,1896,1,2,MCICH_SMC,57123,0,1,18753,75857,7,5,8,63608,7,8,12254
../complex_net_proposal/experiment_networks/epinions.edges,centola,4,20,2276,1,2,MCICH_SMC,57123,0,1,18753,75857,7,5,8,64370,7,8,11492
../complex_net_proposal/experiment_networks/epinions.edges,centola,4,20,2655,1,2,MCICH_SMC,57123,0,1,18753,75857,7,5,8,65081,7,8,10781
../complex_net_proposal/experiment_networks/epinions.edges,centola,4,20,3035,1,2,MCICH_SMC,57123,0,1,18753,75857,7,5,8,65819,7,8,10043
../complex_net_proposal/experiment_networks/epinions.edges,centola,4,20,3414,1,2,MCICH_SMC,57123,0,1,18753,75857,7,5,8,66556,7,8,9306
../complex_net_proposal/experiment_networks/epinions.edges,centola,4,20,3793,1,2,MCICH_SMC,57123,0,1,18753,75857,7,5,8,67348,7,7,8515
../complex_net_proposal/experiment_networks/epinions.edges,centola,4,20,4173,1,2,MCICH_SMC,57123,0,1,18753,75857,7,5,8,68053,7,7,7810
../complex_net_proposal/experiment_networks/epinions.edges,centola,4,20,4552,1,2,MCICH_SMC,57123,0,1,18753,75857,7,5,8,68744,7,8,7118
../complex_net_proposal/experiment_networks/epinions.edges,centola,4,20,4932,1,2,MCICH_SMC,57123,0,1,18753,75857,7,5,8,69562,7,8,6300
../complex_net_proposal/experiment_networks/epinions.edges,centola,4,20,5311,1,2,MCICH_SMC,57123,0,1,18753,75857,7,5,8,75817,7,7,46
../complex_net_proposal/experiment_networks/epinions.edges,centola,2,20,37,2,1,MCICH_SMC,41055,0,0,34822,41073,1,8,34795,41871,4,2,34000
../complex_net_proposal/experiment_networks/epinions.edges,centola,2,20,75,2,1,MCICH_SMC,41055,0,0,34822,41073,1,8,34795,42325,4,3,33545
../complex_net_proposal/experiment_networks/epinions.edges,centola,2,20,379,2,1,MCICH_SMC,41055,0,0,34822,41201,6,53,34617,44478,4,3,31392
../complex_net_proposal/experiment_networks/epinions.edges,centola,2,20,758,2,1,MCICH_SMC,41055,0,0,34822,41201,6,53,34617,46136,5,5,29731
../complex_net_proposal/experiment_networks/epinions.edges,centola,2,20,1138,2,1,MCICH_SMC,41055,0,0,34822,41201,6,53,34617,47722,8,8,28139
../complex_net_proposal/experiment_networks/epinions.edges,centola,2,20,1517,2,1,MCICH_SMC,41055,0,0,34822,41811,42,200,33824,49074,11,10,26782
../complex_net_proposal/experiment_networks/epinions.edges,centola,2,20,1896,2,1,MCICH_SMC,41055,0,0,34822,41811,42,200,33824,50148,10,10,25709
../complex_net_proposal/experiment_networks/epinions.edges,centola,2,20,2276,2,1,MCICH_SMC,41055,0,0,34822,41811,42,200,33824,51257,11,10,24599
../complex_net_proposal/experiment_networks/epinions.edges,centola,2,20,2655,2,1,MCICH_SMC,41055,0,0,34822,75857,5,12,3,52219,12,10,23636
