time,threshold,blocking,state_0,state_1,state_2,state_3
13,3,no_block,-57,0,-5,62
14,3,no_block,-25,0,-2,27
15,3,no_block,-5,0,0,5
16,3,no_block,-5,0,0,5
17,3,no_block,-2,0,0,2
18,3,no_block,-2,0,0,2
19,3,no_block,0,0,0,0
2,3,mcich,0,0,0,0
3,3,mcich,0,0,0,0
2,3,degree,-34,7,20,7
3,3,degree,-193,56,92,45
4,3,degree,-206,77,22,107
5,3,degree,-171,11,-4,164
6,3,degree,-101,-107,39,169
7,3,degree,-281,15,138,128
8,3,degree,-508,-4,249,263
9,3,degree,-442,-49,120,371
10,3,degree,-384,-10,-3,397
11,3,degree,-269,-1,-55,325
12,3,degree,-287,-1,34,254
13,3,degree,-355,0,152,203
14,3,degree,-224,0,11,213
15,3,degree,-152,0,-92,244
16,3,degree,-69,0,-183,252
17,3,degree,-45,0,-135,180
18,3,degree,-19,0,-124,143
19,3,degree,-14,0,-33,47
20,3,degree,-5,0,-19,24
21,3,degree,-1,0,-8,9
22,3,degree,-1,0,-6,7
23,3,degree,0,0,-1,1
24,3,degree,0,0,0,0
2,3,random,-76,24,24,28
3,3,random,-396,97,24,275
4,3,random,-427,-46,61,412
5,3,random,-780,114,40,626
6,3,random,-508,-153,24,637
7,3,random,-506,2,107,397
8,3,random,-600,46,-71,625
9,3,random,-288,-48,-57,393
10,3,random,-203,-1,-11,215
11,3,random,-130,5,25,100
12,3,random,-88,1,14,73
13,3,random,-58,2,10,46
14,3,random,-25,-1,3,23
15,3,random,-5,0,3,2
16,3,random,-5,0,3,2
17,3,random,-2,0,2,0
18,3,random,-2,0,2,0
19,3,random,0,0,0,0
2,4,no_block,-34,3,18,13
3,4,no_block,-267,60,24,183
4,4,no_block,-288,128,-13,173
5,4,no_block,-259,-29,14,274
6,4,no_block,-427,-62,-4,493
7,4,no_block,-504,-43,86,461
8,4,no_block,-205,-39,-59,303
9,4,no_block,-239,-10,9,240
10,4,no_block,-204,-2,-3,209
11,4,no_block,-219,32,-39,226
12,4,no_block,-287,-22,-12,321
13,4,no_block,-148,-19,-9,176
14,4,no_block,-60,-3,-11,74
15,4,no_block,-48,0,-8,56
16,4,no_block,-31,0,0,31
17,4,no_block,-12,0,0,12
18,4,no_block,-3,0,0,3
19,4,no_block,0,0,0,0
2,4,mcich,0,0,0,0
3,4,mcich,0,0,0,0
2,4,degree,-8,0,8,0
3,4,degree,-37,0,37,0
4,4,degree,-81,0,81,0
5,4,degree,-90,-1,90,1
6,4,degree,-41,0,41,0
7,4,degree,-46,0,46,0
8,4,degree,-78,0,78,0
9,4,degree,-58,-2,58,2
10,4,degree,-94,0,94,0
11,4,degree,-93,0,93,0
12,4,degree,-48,0,48,0
13,4,degree,-17,0,17,0
14,4,degree,-44,0,44,0
15,4,degree,-104,0,104,0
16,4,degree,-230,-1,230,1
17,4,degree,-185,0,185,0
18,4,degree,-104,0,104,0
19,4,degree,-47,0,47,0
20,4,degree,-49,0,49,0
21,4,degree,-147,0,147,0
22,4,degree,-111,0,111,0
23,4,degree,-58,0,58,0
24,4,degree,-32,0,32,0
25,4,degree,-47,0,47,0
26,4,degree,-57,-1,57,1
27,4,degree,-91,-1,91,1
28,4,degree,-87,0,87,0
29,4,degree,-36,0,36,0
30,4,degree,-71,0,71,0
31,4,degree,-22,0,22,0
32,4,degree,-3,0,3,0
33,4,degree,-2,0,2,0
34,4,degree,-2,0,2,0
35,4,degree,-5,0,5,0
36,4,degree,-1,0,1,0
37,4,degree,-1,0,1,0
38,4,degree,0,0,0,0
2,4,random,-34,3,18,13
3,4,random,-266,65,28,173
4,4,random,-283,130,-11,164
5,4,random,-251,10,20,221
6,4,random,-427,-56,18,465
7,4,random,-492,-51,87,456
8,4,random,-220,-42,-46,308
9,4,random,-207,-3,-8,218
10,4,random,-184,6,4,174
11,4,random,-241,35,44,162
12,4,random,-297,-9,20,286
13,4,random,-162,-12,-30,204
14,4,random,-68,0,-36,104
15,4,random,-52,1,-6,57
16,4,random,-31,1,-11,41
17,4,random,-11,-1,-2,14
18,4,random,-3,0,1,2
19,4,random,0,0,0,0
2,2,no_block,-219,70,56,93
3,2,no_block,-731,-34,86,679
4,2,no_block,-975,20,79,876
5,2,no_block,-1171,10,-34,1195
6,2,no_block,-1084,-59,-86,1229
7,2,no_block,-549,-2,-74,625
8,2,no_block,-166,-4,-22,192
9,2,no_block,-76,-7,-12,95
10,2,no_block,-16,0,0,16
11,2,no_block,-5,0,0,5
12,2,no_block,-1,0,0,1
13,2,no_block,-2,0,0,2
