network_name,threshold,seed_size,budget_total,0_no_block,1_no_block,2_no_block,3_no_block,0_cbh,1_cbh,2_cbh,3_cbh,0_degree,1_degree,2_degree,3_degree,0_random,1_random,2_random,3_random
fb-pages-politician,2,20,472,889.0,0.0,0.0,5019.0,5888.0,6.0,7.1,6.9,1628.5,0.0,318.5,3961.0,945.3,312.3,470.9,4179.5
fb-pages-politician,2,20,531,889.0,0.0,0.0,5019.0,5888.0,6.0,7.1,6.9,1751.1,0.0,322.8,3834.1,955.8,347.7,533.3,4071.2
fb-pages-politician,2,20,590,889.0,0.0,0.0,5019.0,5888.0,6.0,7.1,6.9,1886.4,0.0,691.9,3329.7,980.7,414.1,557.0,3956.2
fb-pages-politician,2,20,649,889.0,0.0,0.0,5019.0,5888.0,6.0,7.1,6.9,2016.4,0.4,727.3,3163.9,1001.8,450.8,623.2,3832.2
fb-pages-politician,2,20,708,889.0,0.0,0.0,5019.0,5888.0,6.0,7.1,6.9,2147.0,0.5,1368.1,2392.4,1027.9,500.2,653.6,3726.3
fb-pages-politician,3,20,29,1788.0,0.0,0.0,4120.0,2215.0,0.8,1263.1,2429.1,1921.0,0.0,71.1,3915.9,1788.0,11.7,42.3,4066.0
fb-pages-politician,3,20,59,1788.0,0.0,0.0,4120.0,2634.8,1.4,2882.6,389.2,1957.5,0.0,148.9,3801.6,1788.6,17.8,54.4,4047.2
fb-pages-politician,3,20,118,1788.0,0.0,0.0,4120.0,5487.2,5.4,407.9,7.5,2168.4,310.9,505.7,2923.0,1794.0,69.8,124.1,3920.1
fb-pages-politician,3,20,177,1788.0,0.0,0.0,4120.0,5888.0,6.0,7.1,6.9,2722.9,275.5,739.4,2170.2,1804.5,149.7,185.3,3768.5
fb-pages-politician,3,20,236,1788.0,0.0,0.0,4120.0,5888.0,6.0,7.1,6.9,4028.6,283.7,482.2,1113.5,1814.1,182.6,263.8,3647.5
fb-pages-politician,3,20,295,1788.0,0.0,0.0,4120.0,5888.0,6.0,7.1,6.9,4666.9,47.4,476.5,717.2,1825.5,239.7,307.5,3535.3
fb-pages-politician,3,20,354,1788.0,0.0,0.0,4120.0,5888.0,6.0,7.1,6.9,5036.3,46.5,388.2,437.0,1852.9,285.1,330.2,3439.8
fb-pages-politician,3,20,413,1788.0,0.0,0.0,4120.0,5888.0,6.0,7.1,6.9,5343.2,43.6,370.0,151.2,1868.5,356.4,372.1,3311.0
fb-pages-politician,3,20,472,1788.0,0.0,0.0,4120.0,5888.0,6.0,7.1,6.9,5668.1,64.2,124.6,51.1,1890.7,396.0,436.4,3184.9
fb-pages-politician,3,20,531,1788.0,0.0,0.0,4120.0,5888.0,6.0,7.1,6.9,5746.9,40.2,85.9,35.0,1923.8,422.9,461.4,3099.9
fb-pages-politician,3,20,590,1788.0,0.0,0.0,4120.0,5888.0,6.0,7.1,6.9,5777.6,41.6,70.9,17.9,1942.1,457.8,501.9,3006.2
fb-pages-politician,3,20,649,1788.0,0.0,0.0,4120.0,5888.0,6.0,7.1,6.9,5821.4,35.7,33.8,17.1,1998.3,500.7,493.3,2915.7
fb-pages-politician,3,20,708,1788.0,0.0,0.0,4120.0,5888.0,6.0,7.1,6.9,5851.7,20.5,19.8,16.0,2008.1,552.2,563.0,2784.7
