network_name,threshold,seed_size,budget_total,0_no_block,1_no_block,2_no_block,3_no_block,0_cbh,1_cbh,2_cbh,3_cbh,0_degree,1_degree,2_degree,3_degree,0_random,1_random,2_random,3_random
fb-pages-politician,4,20,59,2653,0,0,3255,2668,0,3059,181,2780,0,2897,231,2654,11,47,3196
fb-pages-politician,4,20,118,2653,0,0,3255,2697,0,3194,17,5251,0,430,227,2656,33,105,3114
fb-pages-politician,4,20,177,2653,0,0,3255,5888,12,3,5,5680,0,5,223,2659,78,113,3058
fb-pages-politician,4,20,236,2653,0,0,3255,5888,12,3,5,5685,0,5,218,2672,142,214,2880
fb-pages-politician,4,20,295,2653,0,0,3255,5888,12,3,5,5688,0,11,209,2669,185,248,2806
fb-pages-politician,4,20,354,2653,0,0,3255,5888,12,3,5,5694,0,15,199,2693,170,330,2715
fb-pages-politician,4,20,413,2653,0,0,3255,5888,12,3,5,5703,0,17,188,2704,178,425,2601
fb-pages-politician,4,20,472,2653,0,0,3255,5888,12,3,5,5717,0,13,178,2785,233,284,2606
fb-pages-politician,2,20,29,889,0,0,5019,909,0,34,4965,1041,0,29,4838,889,23,20,4976
fb-pages-politician,2,20,59,889,0,0,5019,909,0,34,4965,1044,0,82,4782,889,18,56,4945
fb-pages-politician,2,20,118,889,0,0,5019,897,0,154,4857,1005,0,239,4664,890,17,124,4877
fb-pages-politician,2,20,177,889,0,0,5019,945,0,4949,14,1166,0,188,4554,892,55,205,4756
fb-pages-politician,2,20,236,889,0,0,5019,945,0,4949,14,1099,0,347,4462,891,36,282,4699
fb-pages-politician,2,20,295,889,0,0,5019,945,0,4949,14,1203,0,351,4354,900,88,339,4581
fb-pages-politician,2,20,354,889,0,0,5019,1056,0,4838,14,1318,0,379,4211,917,136,355,4500
fb-pages-politician,2,20,413,889,0,0,5019,5888,10,6,4,1420,0,403,4085,912,204,484,4308
fb-pages-politician,2,20,472,889,0,0,5019,5888,10,6,4,1514,0,432,3962,936,280,534,4158
fb-pages-politician,3,20,29,1788,0,0,4120,1805,0,33,4070,1975,0,22,3911,1788,21,27,4072
fb-pages-politician,3,20,59,1788,0,0,4120,1805,0,96,4007,1980,0,126,3802,1789,20,46,4053
fb-pages-politician,3,20,118,1788,0,0,4120,1844,0,191,3873,2097,0,241,3570,1790,65,131,3922
fb-pages-politician,3,20,177,1788,0,0,4120,1805,0,4089,14,2051,0,790,3067,1788,22,154,3944
fb-pages-politician,3,20,236,1788,0,0,4120,1916,0,3978,14,2270,0,1143,2495,1793,86,230,3799
fb-pages-politician,3,20,295,1788,0,0,4120,5888,10,6,4,2789,0,763,2356,1802,119,287,3700
fb-pages-politician,3,20,354,1788,0,0,4120,5888,10,6,4,3387,0,1250,1271,1821,150,408,3529
fb-pages-politician,3,20,413,1788,0,0,4120,5888,10,6,4,3516,0,1190,1202,1861,331,388,3328
fb-pages-politician,3,20,472,1788,0,0,4120,5888,10,6,4,4625,0,548,735,1986,211,431,3280
fb-pages-politician,4,20,29,2653,0,0,3255,2663,0,42,3203,2757,0,207,2944,2653,5,44,3206
fb-pages-politician,4,20,59,2653,0,0,3255,2705,0,0,3203,2989,0,1312,1607,2653,31,38,3186
fb-pages-politician,4,20,118,2653,0,0,3255,2705,0,3189,14,2965,0,1647,1296,2654,24,226,3004
fb-pages-politician,4,20,177,2653,0,0,3255,5888,10,6,4,4375,0,791,742,2655,54,131,3068
fb-pages-politician,4,20,236,2653,0,0,3255,5888,10,6,4,4710,0,506,692,2663,130,243,2872
fb-pages-politician,4,20,295,2653,0,0,3255,5888,10,6,4,5192,0,268,448,2668,132,221,2887
fb-pages-politician,4,20,354,2653,0,0,3255,5888,10,6,4,5452,0,229,227,2675,228,239,2766
fb-pages-politician,4,20,413,2653,0,0,3255,5888,10,6,4,5677,0,14,217,2706,357,297,2548
fb-pages-politician,4,20,472,2653,0,0,3255,5888,10,6,4,5687,0,15,206,2737,314,526,2331
fb-pages-politician,2,20,29,889,0,0,5019,903,0,4933,72,1020,0,44,4844,889,14,30,4975
fb-pages-politician,2,20,59,889,0,0,5019,896,0,4997,15,918,0,221,4769,889,3,81,4935
fb-pages-politician,2,20,118,889,0,0,5019,5888,10,5,5,1141,0,100,4667,893,65,137,4813
