network_name,seed_method,threshold,seed_size,budget_total,no_block_0,no_block_1,no_block_2,no_block_3,mcich_0,mcich_1,mcich_2,mcich_3,random_0,random_1,random_2,random_3,degree_0,degree_1,degree_2,degree_3
astroph,random_k_core,2,20,750.0,2959,0,0,15812,18751,7,7,6,3010,748,747,14266,4127,1,1,14642
astroph,random_k_core,2,20,844.0,2959,0,0,15812,18751,7,7,6,3007,816,847,14101,4269,1,1,14500
astroph,random_k_core,2,20,938.0,2959,0,0,15812,18751,7,7,6,3027,897,925,13922,4414,1,1,14355
astroph,random_k_core,2,20,1032.0,2959,0,0,15812,18751,7,7,6,3041,992,1016,13722,4546,2,3,14220
astroph,random_k_core,2,20,1126.0,2959,0,0,15812,18751,7,7,6,3069,1045,1100,13557,4690,47,2,14032
astroph,random_k_core,2,20,1220.0,2959,0,0,15812,18751,7,7,6,3091,1114,1167,13399,4899,3,2,13867
astroph,random_k_core,2,20,1313.0,2959,0,0,15812,18751,7,7,6,3113,1193,1236,13229,5052,3,2,13714
astroph,random_k_core,2,20,1407.0,2959,0,0,15812,18751,7,7,6,3151,1266,1295,13059,5288,4,4,13475
astroph,random_k_core,2,20,1501.0,2959,0,0,15812,18751,7,7,6,3176,1333,1368,12894,5445,4,3,13319
astroph,random_k_core,2,20,1595.0,2959,0,0,15812,18751,7,7,6,3214,1436,1418,12703,5633,4,26,13108
astroph,random_k_core,2,20,1689.0,2959,0,0,15812,18751,7,7,6,3250,1528,1466,12527,5826,4,5,12936
astroph,random_k_core,2,20,1783.0,2959,0,0,15812,18751,7,7,6,3273,1589,1549,12360,6007,4,11,12749
astroph,random_k_core,2,20,1877.0,2959,0,0,15812,18751,7,7,6,3301,1660,1621,12189,6200,4,13,12554
astroph,random_k_core,2,20,1970.0,2959,0,0,15812,18751,7,7,6,3332,1722,1702,12015,6386,4,11,12370
astroph,random_k_core,2,20,2064.0,2959,0,0,15812,18751,7,7,6,3362,1801,1764,11844,6618,4,10,12139
astroph,random_k_core,2,20,2158.0,2959,0,0,15812,18751,7,7,6,3384,1874,1836,11677,6803,4,28,11936
astroph,random_k_core,2,20,2252.0,2959,0,0,15812,18751,7,7,6,3408,1933,1901,11529,6988,4,59,11720
astroph,random_k_core,3,20,9.0,4899,0,0,13872,4913,13847,0,11,4899,6,12,13854,4924,0,1,13846
astroph,random_k_core,3,20,18.0,4899,0,0,13872,18751,9,4,7,4899,16,19,13837,4943,0,6,13822
astroph,random_k_core,3,20,93.0,4899,0,0,13872,18751,9,4,7,4899,86,98,13688,5082,13678,0,11
astroph,random_k_core,3,20,187.0,4899,0,0,13872,18751,9,4,7,4903,224,181,13463,5238,13522,0,11
astroph,random_k_core,3,20,281.0,4899,0,0,13872,18751,9,4,7,4909,320,286,13256,5399,13361,0,11
astroph,random_k_core,3,20,375.0,4899,0,0,13872,18751,9,4,7,4911,399,412,13049,5574,13186,1,10
astroph,random_k_core,3,20,469.0,4899,0,0,13872,18751,9,4,7,4924,469,494,12884,5748,13012,1,10
astroph,random_k_core,3,20,563.0,4899,0,0,13872,18751,9,4,7,4935,543,596,12697,18751,9,4,7
astroph,random_k_core,3,20,656.0,4899,0,0,13872,18751,9,4,7,4970,591,651,12559,18751,9,4,7
astroph,random_k_core,3,20,750.0,4899,0,0,13872,18751,9,4,7,4986,645,745,12395,18751,9,4,7
astroph,random_k_core,3,20,844.0,4899,0,0,13872,18751,9,4,7,5002,714,813,12242,18751,9,4,7
astroph,random_k_core,3,20,938.0,4899,0,0,13872,18751,9,4,7,5019,820,883,12049,18751,9,4,7
astroph,random_k_core,3,20,1032.0,4899,0,0,13872,18751,9,4,7,5041,917,962,11851,18751,9,4,7
astroph,random_k_core,3,20,1126.0,4899,0,0,13872,18751,9,4,7,5063,1019,1030,11659,18751,9,4,7
astroph,random_k_core,3,20,1220.0,4899,0,0,13872,18751,9,4,7,5089,1091,1083,11508,18751,9,4,7
astroph,random_k_core,3,20,1313.0,4899,0,0,13872,18751,9,4,7,5086,1159,1170,11356,18751,9,4,7
astroph,random_k_core,3,20,1407.0,4899,0,0,13872,18751,9,4,7,5115,1242,1218,11196,18751,9,4,7
astroph,random_k_core,3,20,1501.0,4899,0,0,13872,18751,9,4,7,5151,1306,1265,11049,18751,9,4,7
astroph,random_k_core,3,20,1595.0,4899,0,0,13872,18751,9,4,7,5182,1369,1317,10903,18751,9,4,7
astroph,random_k_core,3,20,1689.0,4899,0,0,13872,18751,9,4,7,5219,1432,1376,10744,18751,9,4,7
astroph,random_k_core,3,20,1783.0,4899,0,0,13872,18751,9,4,7,5256,1484,1454,10577,18751,9,4,7
astroph,random_k_core,3,20,1877.0,4899,0,0,13872,18751,9,4,7,5284,1529,1526,10432,18751,9,4,7
astroph,random_k_core,3,20,1970.0,4899,0,0,13872,18751,9,4,7,5322,1572,1584,10293,18751,9,4,7
astroph,random_k_core,3,20,2064.0,4899,0,0,13872,18751,9,4,7,5362,1614,1651,10144,18751,9,4,7
astroph,random_k_core,3,20,2158.0,4899,0,0,13872,18751,9,4,7,5401,1632,1724,10014,18751,9,4,7
astroph,random_k_core,3,20,2252.0,4899,0,0,13872,18751,9,4,7,5415,1686,1800,9870,18751,9,4,7
astroph,random_k_core,4,20,9.0,18751,9,6,5,18751,9,6,5,18751,9,6,5,18751,9,6,5
astroph,random_k_core,4,20,18.0,18751,9,6,5,18751,9,6,5,18751,9,6,5,18751,9,6,5
astroph,random_k_core,4,20,93.0,18751,9,6,5,18751,9,6,5,18751,9,6,5,18751,9,6,5
astroph,random_k_core,4,20,187.0,18751,9,6,5,18751,9,6,5,18751,9,6,5,18751,9,6,5
astroph,random_k_core,4,20,281.0,18751,9,6,5,18751,9,6,5,18751,9,6,5,18751,9,6,5
astroph,random_k_core,4,20,375.0,18751,9,6,5,18751,9,6,5,18751,9,6,5,18751,9,6,5
astroph,random_k_core,4,20,469.0,18751,9,6,5,18751,9,6,5,18751,9,6,5,18751,9,6,5
astroph,random_k_core,4,20,563.0,18751,9,6,5,18751,9,6,5,18751,9,6,5,18751,9,6,5
astroph,random_k_core,4,20,656.0,18751,9,6,5,18751,9,6,5,18751,9,6,5,18751,9,6,5
astroph,random_k_core,4,20,750.0,18751,9,6,5,18751,9,6,5,18751,9,6,5,18751,9,6,5
astroph,random_k_core,4,20,844.0,18751,9,6,5,18751,9,6,5,18751,9,6,5,18751,9,6,5
astroph,random_k_core,4,20,938.0,18751,9,6,5,18751,9,6,5,18751,9,6,5,18751,9,6,5
astroph,random_k_core,4,20,1032.0,18751,9,6,5,18751,9,6,5,18751,9,6,5,18751,9,6,5
astroph,random_k_core,4,20,1126.0,18751,9,6,5,18751,9,6,5,18751,9,6,5,18751,9,6,5
astroph,random_k_core,4,20,1220.0,18751,9,6,5,18751,9,6,5,18751,9,6,5,18751,9,6,5
astroph,random_k_core,4,20,1313.0,18751,9,6,5,18751,9,6,5,18751,9,6,5,18751,9,6,5
astroph,random_k_core,4,20,1407.0,18751,9,6,5,18751,9,6,5,18751,9,6,5,18751,9,6,5
astroph,random_k_core,4,20,1501.0,18751,9,6,5,18751,9,6,5,18751,9,6,5,18751,9,6,5
astroph,random_k_core,4,20,1595.0,18751,9,6,5,18751,9,6,5,18751,9,6,5,18751,9,6,5
astroph,random_k_core,4,20,1689.0,18751,9,6,5,18751,9,6,5,18751,9,6,5,18751,9,6,5
astroph,random_k_core,4,20,1783.0,18751,9,6,5,18751,9,6,5,18751,9,6,5,18751,9,6,5
astroph,random_k_core,4,20,1877.0,18751,9,6,5,18751,9,6,5,18751,9,6,5,18751,9,6,5
astroph,random_k_core,4,20,1970.0,18751,9,6,5,18751,9,6,5,18751,9,6,5,18751,9,6,5
astroph,random_k_core,4,20,2064.0,18751,9,6,5,18751,9,6,5,18751,9,6,5,18751,9,6,5
astroph,random_k_core,4,20,2158.0,18751,9,6,5,18751,9,6,5,18751,9,6,5,18751,9,6,5
astroph,random_k_core,4,20,2252.0,18751,9,6,5,18751,9,6,5,18751,9,6,5,18751,9,6,5
astroph,random_k_core,2,20,9.0,2959,0,0,15812,2974,4,3,15790,2959,8,11,15793,2974,0,1,15796
astroph,random_k_core,2,20,18.0,2959,0,0,15812,2974,4,14,15779,2959,17,20,15775,2990,0,1,15780
astroph,random_k_core,2,20,93.0,2959,0,0,15812,18751,6,6,8,2962,90,80,15639,3106,0,1,15664
astroph,random_k_core,2,20,187.0,2959,0,0,15812,18751,6,6,8,2959,233,180,15399,3236,0,2,15533
astroph,random_k_core,2,20,281.0,2959,0,0,15812,18751,6,6,8,2963,302,290,15216,3383,1,7,15380
